SEMANA_DEL_AÃ‘O,FEMENINO,INDETERMINADO,MASCULINO,SIN REGISTRO
"(2020, 1)",98.0,1.0,68.0,0.0
"(2020, 2)",143.0,0.0,86.0,0.0
"(2020, 3)",53.0,0.0,87.0,0.0
"(2020, 4)",101.0,1.0,47.0,0.0
"(2020, 5)",35.0,1.0,48.0,0.0
"(2020, 6)",83.0,0.0,66.0,0.0
"(2020, 7)",97.0,0.0,80.0,0.0
"(2020, 8)",102.0,0.0,54.0,0.0
"(2020, 9)",93.0,0.0,114.0,0.0
"(2020, 10)",117.0,1.0,85.0,0.0
"(2020, 11)",121.0,0.0,143.0,0.0
"(2020, 12)",72.0,0.0,26.0,0.0
"(2020, 13)",23.0,0.0,14.0,0.0
"(2020, 14)",68.0,0.0,108.0,0.0
"(2020, 15)",98.0,1.0,228.0,0.0
"(2020, 16)",303.0,0.0,580.0,0.0
"(2020, 17)",533.0,0.0,1137.0,0.0
"(2020, 18)",719.0,0.0,1825.0,0.0
"(2020, 19)",1000.0,0.0,2240.0,0.0
"(2020, 20)",1181.0,0.0,2569.0,0.0
"(2020, 21)",1288.0,1.0,2848.0,0.0
"(2020, 22)",1342.0,0.0,3002.0,0.0
"(2020, 23)",1421.0,1.0,3014.0,0.0
"(2020, 24)",1400.0,0.0,3112.0,0.0
"(2020, 25)",1370.0,0.0,3011.0,0.0
"(2020, 26)",1252.0,0.0,2693.0,0.0
"(2020, 27)",1295.0,1.0,2732.0,0.0
"(2020, 28)",1363.0,1.0,2914.0,0.0
"(2020, 29)",1397.0,0.0,3153.0,1.0
"(2020, 30)",1410.0,0.0,3158.0,0.0
"(2020, 31)",1445.0,0.0,3259.0,0.0
"(2020, 32)",1555.0,0.0,3356.0,0.0
"(2020, 33)",1408.0,0.0,3098.0,0.0
"(2020, 34)",1209.0,0.0,2703.0,0.0
"(2020, 35)",1063.0,0.0,2305.0,0.0
"(2020, 36)",737.0,0.0,1780.0,0.0
"(2020, 37)",704.0,0.0,1359.0,0.0
"(2020, 38)",521.0,3.0,1150.0,0.0
"(2020, 39)",450.0,0.0,821.0,0.0
"(2020, 40)",341.0,0.0,681.0,0.0
"(2020, 41)",351.0,0.0,585.0,0.0
"(2020, 42)",267.0,0.0,521.0,0.0
"(2020, 43)",333.0,0.0,415.0,0.0
"(2020, 44)",227.0,0.0,358.0,0.0
"(2020, 45)",270.0,0.0,382.0,0.0
"(2020, 46)",208.0,0.0,432.0,0.0
"(2020, 47)",195.0,0.0,349.0,0.0
"(2020, 48)",144.0,0.0,274.0,0.0
"(2020, 49)",234.0,0.0,353.0,0.0
"(2020, 50)",319.0,1.0,431.0,0.0
"(2020, 51)",360.0,2.0,574.0,0.0
"(2020, 52)",436.0,0.0,604.0,0.0
"(2020, 53)",519.0,3.0,769.0,0.0
"(2021, 1)",719.0,0.0,1054.0,0.0
"(2021, 2)",901.0,0.0,1523.0,1.0
"(2021, 3)",1391.0,0.0,2099.0,0.0
"(2021, 4)",1633.0,0.0,2863.0,0.0
"(2021, 5)",1841.0,1.0,2963.0,0.0
"(2021, 6)",2082.0,0.0,3394.0,0.0
"(2021, 7)",2091.0,0.0,3409.0,0.0
"(2021, 8)",1969.0,0.0,3212.0,0.0
"(2021, 9)",2059.0,0.0,3229.0,0.0
"(2021, 10)",1980.0,0.0,3189.0,1.0
"(2021, 11)",2130.0,0.0,3088.0,0.0
"(2021, 12)",2146.0,0.0,3213.0,0.0
"(2021, 13)",2179.0,0.0,3429.0,0.0
"(2021, 14)",2459.0,0.0,3619.0,0.0
"(2021, 15)",2358.0,0.0,3689.0,0.0
"(2021, 16)",2395.0,0.0,3477.0,0.0
"(2021, 17)",2058.0,1.0,3273.0,0.0
"(2021, 18)",1871.0,0.0,2947.0,0.0
"(2021, 19)",1577.0,0.0,2586.0,0.0
"(2021, 20)",1029.0,0.0,1548.0,0.0
