SEMANA_DEL_AÃ‘O,FEMENINO,INDETERMINADO,MASCULINO
"(2020, 10)",1.0,0.0,1.0
"(2020, 11)",1.0,0.0,2.0
"(2020, 12)",10.0,0.0,24.0
"(2020, 13)",27.0,0.0,47.0
"(2020, 14)",79.0,0.0,168.0
"(2020, 15)",187.0,0.0,405.0
"(2020, 16)",332.0,0.0,706.0
"(2020, 17)",525.0,0.0,1278.0
"(2020, 18)",795.0,0.0,1854.0
"(2020, 19)",990.0,0.0,2345.0
"(2020, 20)",1117.0,0.0,2474.0
"(2020, 21)",1179.0,0.0,2668.0
"(2020, 22)",1252.0,0.0,2816.0
"(2020, 23)",1293.0,0.0,2845.0
"(2020, 24)",1398.0,0.0,2826.0
"(2020, 25)",1344.0,0.0,2782.0
"(2020, 26)",1229.0,0.0,2514.0
"(2020, 27)",1252.0,0.0,2546.0
"(2020, 28)",1319.0,0.0,2631.0
"(2020, 29)",1407.0,0.0,2769.0
"(2020, 30)",1551.0,0.0,2738.0
"(2020, 31)",1622.0,0.0,2729.0
"(2020, 32)",1772.0,0.0,2689.0
"(2020, 33)",1708.0,0.0,2581.0
"(2020, 34)",1542.0,0.0,2231.0
"(2020, 35)",1328.0,0.0,1948.0
"(2020, 36)",1046.0,0.0,1601.0
"(2020, 37)",901.0,0.0,1244.0
"(2020, 38)",772.0,0.0,1084.0
"(2020, 39)",676.0,0.0,844.0
"(2020, 40)",503.0,0.0,732.0
"(2020, 41)",477.0,0.0,645.0
"(2020, 42)",398.0,0.0,564.0
"(2020, 43)",348.0,0.0,485.0
"(2020, 44)",343.0,0.0,457.0
"(2020, 45)",329.0,0.0,400.0
"(2020, 46)",271.0,0.0,429.0
"(2020, 47)",264.0,0.0,402.0
"(2020, 48)",258.0,0.0,402.0
"(2020, 49)",270.0,0.0,435.0
"(2020, 50)",283.0,0.0,468.0
"(2020, 51)",294.0,0.0,542.0
"(2020, 52)",341.0,0.0,554.0
"(2020, 53)",420.0,1.0,700.0
"(2021, 1)",541.0,0.0,946.0
"(2021, 2)",773.0,0.0,1324.0
"(2021, 3)",1136.0,0.0,1929.0
"(2021, 4)",1350.0,0.0,2550.0
"(2021, 5)",1520.0,0.0,2730.0
"(2021, 6)",1712.0,0.0,3088.0
"(2021, 7)",1737.0,0.0,3189.0
"(2021, 8)",1720.0,0.0,3028.0
"(2021, 9)",1717.0,0.0,2969.0
"(2021, 10)",1652.0,0.0,2899.0
"(2021, 11)",1774.0,0.0,2890.0
"(2021, 12)",1893.0,0.0,3096.0
"(2021, 13)",1893.0,0.0,3302.0
"(2021, 14)",2093.0,0.0,3457.0
"(2021, 15)",2103.0,0.0,3513.0
"(2021, 16)",2160.0,0.0,3488.0
"(2021, 17)",1909.0,0.0,3253.0
"(2021, 18)",1701.0,0.0,2945.0
"(2021, 19)",1486.0,0.0,2523.0
"(2021, 20)",1248.0,0.0,2142.0
"(2021, 21)",1180.0,0.0,1830.0
"(2021, 22)",776.0,0.0,1286.0
